Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2010, eco1, 0, 105.15, -267.4, 0, 199, 0, 
2011, eco1, 0, 130.23, -267.61, 0, 199, 0, 
2012, eco1, 0, 79.03, -266.58, 0, 199, 0, 
2013, eco1, 0, 75.32, -266.78, 0, 199, 0, 
2014, eco1, 0, 143.36, -267.55, 0, 199, 0, 
2015, eco1, 0, 167.8, -267.05, 0, 199, 0, 
2016, eco1, 0, 193.95, -266.23, 0, 199, 0, 
2017, eco1, 0, 86.42, -267.3, 0, 199, 0, 
2018, eco1, 0, 73.02, -266.63, 0, 199, 0, 
2019, eco1, 0, 101.05, -267.33, 0, 199, 0, 
2020, eco1, 0, 82.03, -266.14, 0, 199, 0, 
2021, eco1, 0, 77.96, -266.77, 0, 199, 0, 
2022, eco1, 0, 144.88, -267.17, 0, 199, 0, 
2023, eco1, 0, 87.61, -266.88, 0, 199, 0, 
2024, eco1, 0, 120.41, -266.03, 0, 199, 0, 
2025, eco1, 0, 64.46, -267.16, 0, 199, 0, 
2026, eco1, 0, 141.89, -266.18, 0, 199, 0, 
2027, eco1, 0, 82.9, -267.1, 0, 199, 0, 
2028, eco1, 0, 117.6, -265.77, 0, 199, 0, 
2029, eco1, 0, 108.42, -266.53, 0, 199, 0, 
2030, eco1, 0, 89.63, -266.47, 0, 199, 0, 
2031, eco1, 0, 86.08, -266.09, 0, 199, 0, 
2032, eco1, 0, 139.37, -265.67, 0, 199, 0, 
2033, eco1, 0, 105.96, -266.5, 0, 199, 0, 
2034, eco1, 0, 73.85, -266.36, 0, 199, 0, 
2035, eco1, 0, 103.83, -266.88, 0, 199, 0, 
2036, eco1, 0, 131.75, -264.59, 0, 199, 0, 
2037, eco1, 0, 133.64, -265.98, 0, 199, 0, 
2038, eco1, 0, 82.75, -266.21, 0, 199, 0, 
2039, eco1, 0, 78.31, -266.28, 0, 199, 0, 
2040, eco1, 0, 100.12, -266.15, 0, 199, 0, 
2041, eco1, 0, 64.89, -266.01, 0, 199, 0, 
2042, eco1, 0, 113.05, -266.87, 0, 199, 0, 
2043, eco1, 0, 69.37, -266.01, 0, 199, 0, 
2044, eco1, 0, 103.3, -266.19, 0, 199, 0, 
2045, eco1, 0, 105.48, -265.64, 0, 199, 0, 
2046, eco1, 0, 166.26, -266.15, 0, 199, 0, 
2047, eco1, 0, 83.29, -266.09, 0, 199, 0, 
2048, eco1, 0, 133.68, -265.23, 0, 199, 0, 
2049, eco1, 0, 79.94, -266.17, 0, 199, 0, 
2010, eco2, 1, 119.32, -268.59, 0, 199, 0, 
2011, eco2, 1, 145.59, -268.81, 0, 199, 0, 
2012, eco2, 1, 86.97, -267.76, 0, 199, 0, 
2013, eco2, 1, 85.01, -267.97, 0, 199, 0, 
2014, eco2, 1, 162.79, -268.74, 0, 199, 0, 
2015, eco2, 1, 190.94, -268.29, 0, 199, 0, 
2016, eco2, 1, 220.67, -267.41, 0, 199, 0, 
2017, eco2, 1, 96.91, -268.48, 0, 199, 0, 
2018, eco2, 1, 80.57, -267.81, 0, 199, 0, 
2019, eco2, 1, 111.99, -268.53, 0, 199, 0, 
2020, eco2, 1, 93.04, -267.32, 0, 199, 0, 
2021, eco2, 1, 87.81, -267.94, 0, 199, 0, 
2022, eco2, 1, 165.73, -268.38, 0, 199, 0, 
2023, eco2, 1, 99.17, -268.05, 0, 199, 0, 
2024, eco2, 1, 141.02, -267.19, 0, 199, 0, 
2025, eco2, 1, 71.08, -268.36, 0, 199, 0, 
2026, eco2, 1, 158.33, -267.37, 0, 199, 0, 
2027, eco2, 1, 94.98, -268.28, 0, 199, 0, 
2028, eco2, 1, 132.62, -266.95, 0, 199, 0, 
2029, eco2, 1, 122.82, -267.73, 0, 199, 0, 
2030, eco2, 1, 100.45, -267.66, 0, 199, 0, 
2031, eco2, 1, 97.28, -267.24, 0, 199, 0, 
2032, eco2, 1, 155.28, -266.86, 0, 199, 0, 
2033, eco2, 1, 122.34, -267.65, 0, 199, 0, 
2034, eco2, 1, 80.83, -267.54, 0, 199, 0, 
2035, eco2, 1, 122.31, -268.09, 0, 199, 0, 
2036, eco2, 1, 148.86, -265.79, 0, 199, 0, 
2037, eco2, 1, 153.01, -267.16, 0, 199, 0, 
2038, eco2, 1, 90.63, -267.39, 0, 199, 0, 
